"division_code","division","district_code","district","ctc","ctn","upazila_code","upazila","psc","psn","union_code","union_name","mouza_code","mouza","village_code","village","rmo_tus","rmo_phc","ea_code","psu_code"
"30","DHAKA","26","DHAKA","00","OTHERS AREA","72","SAVAR","00","OTHERS AREA","213","DHAMSONA","297","GANAKBARI","308","PABNARTEK",2,"6","035",1931
"45","MYMENSINGH","61","MYMENSINGH","40","MYMENSINGH CITY CORPORATION","52","MYMENSINGH SADAR","00","OTHERS AREA","008","WARD NO. 08","505","MYMENSINGH TOWN (PART)","017","AMLA PARA",2,"9","002",1932
"40","KHULNA","50","KUSHTIA","00","OTHERS AREA","94","MIRPUR","80","MIRPUR POURASABHA","003","WARD NO. 03","541","NAOPARA PURAN (PART)","028","BAZARPARA",2,"2","001",1933
"40","KHULNA","50","KUSHTIA","00","OTHERS AREA","79","KUSHTIA SADAR","60","KUSHTIA POURASABHA","006","WARD NO. 06","409","KALISHANKARPUR (PART)","164","HOUSING ESTATE BLOCK-C",2,"2","002",1934
"60","SYLHET","90","SUNAMGANJ","00","OTHERS AREA","23","CHHATAK","20","CHHATAK POURASABHA","005","WARD NO. 05","060","BAGBARI (PART)","068","DAKKHIN BAGBARI",2,"2","002",1935
"30","DHAKA","26","DHAKA","20","DHAKA SOUTH CITY CORPORATION","29","JATRABARI","00","OTHERS AREA","063","WARD NO. 63","488","MATUAIL (PART)","296","MATUAIL PASHCHIMPARA",2,"9","034",1936
"60","SYLHET","91","SYLHET","50","SYLHET CITY CORPORATION","68","SHAHPARAN","00","OTHERS AREA","022","WARD NO. 22","696","SADIPUR 2ND KHANDA (PART)","448","SHAHJALAL UPASHAHAR BLOCK-G",2,"9","002",1937
"50","RAJSHAHI","70","CHAPAINABABGANJ","00","OTHERS AREA","66","CHAPAINAWABGANJ SADAR","00","OTHERS AREA","681","RANIHATI","691","RAMCHANDRAPUR","348","RAMCHANDRAPUR",2,"6","001",1938
"45","MYMENSINGH","39","JAMALPUR","00","OTHERS AREA","36","JAMALPUR SADAR","50","JAMALPUR POURASABHA","010","WARD NO. 10","142","CHANDRA","081","HAT CHANDRA",2,"2","006",1939
"20","CHATTOGRAM","12","BRAHMANBARIA","00","OTHERS AREA","85","NABINAGAR","88","NABINAGAR POURASABHA","002","WARD NO. 02","549","NABINAGAR (PART)","148","NABINAGAR BANIKPARA",2,"2","001",1940
